調査年月日,2023/9/7,2023/9/15,2023/9/26,2023/10/10,2023/10/16,2023/10/24,2023/11/10,2023/11/15,2023/11/29,2023/12/6,2023/12/13,2023/12/26,2024/1/10,2024/1/16,2024/1/31,2024/2/8,2024/2/16,2024/2/27,2024/3/7,2024/3/15,2024/3/22,2024/4/4,2024/4/18,2024/4/22,2024/5/7,2024/5/14,2024/5/21
(亜種)ヒシクイ 【1】,,,,,,,,,,,,,10,,,,,,,,,,,,,,
オカヨシガモ 【3】,,,,,,,,,,22,10,,,,,,,,,,,,,,,,
ヒドリガモ 【1】,,,,,,7,5,9,1,,,,,,2,,,,,,,,,,,,
マガモ 【2】,,,,,,,3,10,,1,3,,5,,19,37,1,,,,,,,,,,
カルガモ 【3】,9,34,27,24,38,27,64,51,53,76,72,44,18,61,23,59,38,14,5,102,2,7,17,20,7,11,6
ハシビロガモ 【3】,,,,,,,,,,,,,,,5,2,91,27,19,17,3,45,18,,,,
オナガガモ 【2】,,,,,,,22,37,69,20,210,36,195,153,76,766,175,81,7,124,78,35,14,5,4,,
シマアジ 【3】,,,,4,,,,,,,,,,,,,,,,,,,,,,,
トモエガモ 【2】,,,,,,,,,,2,,,,,,,,,,,,,,,,,
コガモ 【3】,,,,,,,,,,2,1,1,,,,,,,,,,,,,,,
ホシハジロ 【2】,,,,,20,10,,19,30,27,37,26,34,18,5,6,,,,19,10,5,3,,,,
キンクロハジロ 【1】,,,5,92,75,139,50,,,,4,1,69,8,30,18,13,9,36,54,14,90,150,70,50,20,
スズガモ 【2】,,,,4,23,5,114,903,517,2,22,406,373,570,263,78,48,314,427,281,119,170,170,150,200,220,
ホオジロガモ 【3】,,,,,,,6,2,,,,1,3,,2,3,2,,3,9,1,,,,,,
カワアイサ 【3】,,,,,,,,,,,,,,,,,,,,1,,,,,,,
ウミアイサ 【3】,,,,,,,,,,,4,,,,,,,,1,,,,,,,,
カンムリカイツブリ 【1】,,,,3,2,4,10,11,39,144,32,6,9,4,3,1,1,2,1,,1,1,,,,2,
ハジロカイツブリ,,,,,,,,,,4,4,,,,,2,,1,3,1,,,,,,,
カワウ 【3】,,,17,29,15,7,14,20,20,15,177,9,2,,1,1,1,,1,,3,3,7,1,,6,
アオサギ 【3】,1,1,1,2,1,,1,1,1,,,1,,,,1,,,1,,,,,,,,
ダイサギ,,1,1,,1,1,1,,,,,,,,,,,,,,,,,1,,,
チュウサギ,,1,1,,1,,,1,,,,,,,,,,,,,,,,,,,
コサギ,,1,,,,,1,,1,,1,,,,,,,,,,,,,,,,
オオバン 【2】,,,,,10,40,6,3,2,40,5,26,68,21,43,26,57,57,28,66,41,23,36,10,35,,
イソシギ,,3,4,,2,,,,2,,1,,,,1,1,,,1,,,,,,,,
ウミネコ 【3】,,1,,,,,,,,,,,,,,,,,,,,,,,,,
ミサゴ 【3】,,3,1,,,1,3,,,4,2,1,4,2,2,2,2,,,2,1,,,,,,
トビ 【3】,,,,,,,,,,,,,1,,,1,,,1,3,1,,,,,,
ウ科,12,122,,,,,,,,,,,,,,,,,,,,,,,,,
サギ科,1,2,1,1,1,,1,,,,,,,,,,,,,,,,,,,,
カモメ科 【3】,,,,,3,1,,18,,,63,,,,,,,1,,,,,,1,,,
カモ類,1,,12,824,2004,1095,911,880,323,863,240,210,1161,275,565,500,210,294,320,133,302,302,150,100,45,20,5
シギチドリ類,,,,,,,,,,,,2,,,,,,,,,,,,,,,
