調査年月日,2023/9/8,2023/9/14,2023/9/28,2023/10/5,2023/10/18,2023/10/26,2023/11/9,2023/11/17,2023/11/22,2024/4/12,2024/4/27,2024/5/2,2024/5/16,2024/5/25
(亜種)オオヒシクイ 【1】,,,28,130,205,202,2,,,144,,,,
(亜種)ヒシクイ 【1】,,,,,13,12,14,,,,,,,
マガン 【1】,,,14350,43280,815,1000,1,,,17230,14830,1212,,
ハクガン 【3】,,,,,1,,,,,,,,,
(亜種)シジュウカラガン 【1】,,,,,,1,,,,,,1,,
コハクチョウ 【1】,,,,6,300,5,,,,208,124,,,
オオハクチョウ 【1】,,,,,2,4,2,6,7,240,,,,
オカヨシガモ 【3】,,,,,,,1,,,,,,,
ヒドリガモ 【1】,,,70,39,7,57,38,6,6,18,,,,
マガモ 【2】,9,1,11,65,66,95,223,144,196,11,2,1,,1
カルガモ 【3】,43,50,41,38,1,25,24,5,1,16,14,14,15,6
ハシビロガモ 【3】,,,6,13,26,18,20,6,3,,2,4,,
オナガガモ 【2】,4,,434,950,97,148,206,224,630,8,4,16,5,
トモエガモ 【2】,,,,,,,2,,1,,,,,
コガモ 【3】,5,3,376,275,75,92,90,45,69,37,35,52,21,4
ホシハジロ 【2】,10,,4,15,12,,16,,,,,1,,
キンクロハジロ 【1】,3,2,23,57,88,16,25,2,1,27,109,70,16,2
スズガモ 【2】,,,4,12,2,1,2,,,,,6,,
ミコアイサ 【3】,,,,,16,91,158,60,11,16,,1,1,1
カワアイサ 【3】,,,,,,,2,53,11,8,,,,
カイツブリ 【1】,10,3,7,,,7,,,1,,,,,
カンムリカイツブリ 【1】,34,30,13,5,9,7,,,,5,6,15,17,16
ハジロカイツブリ,,,,,,2,2,,,,,,,
カワウ 【3】,,2,,,,2,,,,,,,,
アオサギ 【3】,6,1,5,2,2,,3,,,1,3,1,3,1
ダイサギ,3,5,5,2,3,,5,1,,,,,,
バン,,2,,,,,,,,,,,4,2
オオバン 【2】,31,8,12,2,2,1,1,1,1,,,,6,9
セイタカシギ,,,,,,,,,,,1,1,,
アオアシシギ,,,,,,1,,,,,,,,
ユリカモメ 【1】,,,,,1,,,,,,,,,
トビ 【3】,,,,1,1,1,1,1,,7,2,1,1,1
オジロワシ 【2】,,,,,,1,,,,3,1,,,
ハイタカ,,,,,1,,,,,,,,,
ノスリ 【2】,,,,1,,,,,,,,,,
ハヤブサ 【1】,,,,,,,1,,,,,,,
