調査年月日,2023/10/26,2023/11/2,2023/11/13,2023/11/28,2023/12/5,2023/12/11,2023/12/20,2024/1/9,2024/1/17,2024/1/24,2024/2/5,2024/2/14,2024/2/21,2024/3/6,2024/3/13,2024/3/29,2024/4/5,2024/4/12
ツクシガモ,,,,,,,,271,49,106,47,,,,,,,
オカヨシガモ 【3】,,,,,,,,,,,,,,,,,18,2
ヒドリガモ 【1】,1873,822,412,37,48,158,29,8,,7,55,7,,17,54,6,42,24
マガモ 【2】,10,1,80,107,77,41,130,96,205,77,54,54,45,92,76,21,4,3
カルガモ 【3】,,,,11,,,,,11,,2,13,,,8,,10,2
オナガガモ 【2】,12,4,74,86,199,144,24,26,88,23,6,92,9,5,85,37,,
シマアジ 【3】,,,,,,,,,,,,,,,,,2,
コガモ 【3】,,,,,,,,,,,,,,,,,14,3
ホシハジロ 【2】,,,,,,,,,,,,,,,,,6,6
キンクロハジロ 【1】,,,,,,,,,,3,18,60,162,114,94,,54,8
スズガモ 【2】,,,,,56,163,69,127,135,,,12,22,1,,31,,
ホオジロガモ 【3】,,,,,,,,,,19,,,,,,,,
ウミアイサ 【3】,,,,,,,,,3,,,,,,,,,
カイツブリ 【1】,1,,,,,,,,,,,,,,,,,1
カンムリカイツブリ 【1】,,,,3,1,2,1,,1,,2,1,,,,,1,
カワウ 【3】,86,96,2,2,3,2,1,,,1143,4,3,,10,10,8,12,6
アオサギ 【3】,8,1,,,,,,,,,,,,18,,,3,5
ダイサギ,14,3,,,1,,,,,,,,,,,,3,3
チュウサギ,,,,,,,,,,,,,,,,,2,2
コサギ,4,5,1,,1,1,,,,,,,,,1,,1,2
ヘラサギ,,,,,,,,1,,,,,,,,,,
クロツラヘラサギ,37,27,10,1,3,13,,,,,,,6,,,,8,3
バン,,,,,,,,,,,,,,,,,3,2
オオバン 【2】,,,5,,,,,,,,,,,,,,2,2
コチドリ,,,,,,,,10,,,,,,,,,,2
シロチドリ,,,,,17,60,,,,1,7,,2,,,,,
チュウシャクシギ,,1,1,1,,,,,,,,,,,,,,
イソシギ,,,,,,,,,,,,,,,,,3,3
ハマシギ,,,,,,,45,,,,311,,1,,,,,
ユリカモメ 【1】,,,,,,,3,,,,,,,,,,38,
カモメ 【3】,,,,,,,,,,,,,,,,,2,
セグロカモメ 【3】,,,,,,,,,,,7,,,,,,,
ミサゴ 【3】,,1,,2,2,,,1,1,,,1,1,,,1,2,3
トビ 【3】,3,,,,1,1,2,,,,,,,1,1,,3,3
チドリ科,30,,,,,,54,,,,,,,,,,,
カモメ科 【3】,,,,,2,1,,,,,,,,,,,,
カモ類,,,,,5741,985,108,38,2292,262,448,2454,1114,243,99,120,,
