調査年月日,2023/9/10,2023/9/15,2023/9/23,2023/10/2,2023/10/16,2023/10/24,2023/11/9,2023/11/13,2023/11/26,2023/12/4,2024/1/27,2024/2/5,2024/2/13,2024/2/27,2024/3/4,2024/3/12,2024/3/26,2024/4/9,2024/4/16,2024/4/23,2024/5/7,2024/5/14,2024/5/28
オオハクチョウ 【1】,,,,,90,560,190,740,150,950,290,75,180,420,64,150,7,,,,,,
ヨシガモ 【3】,,,,,,,,,,,,,,,,,,3,,,,,
ヒドリガモ 【1】,,,,,,,,,,1,,,,,,,17,7,15,74,,,
アメリカヒドリ 【3】,,,,,,,,,,,,,,,,,,,,1,,,
マガモ 【2】,,,,,,,,,,,,,,,,,,,,,2,,
オナガガモ 【2】,,,,,,,,,,,,,,,,5,4,,,,,,
コガモ 【3】,,,,,,,,,,,,,,,,,,,1,,,,
キンクロハジロ 【1】,,,,,,,3,,,,,,,,,,,,,,,,
スズガモ 【2】,,,,,,,,6,,1,,,,,,,,,,,,,
クロガモ 【3】,,,,,,,,,,,,,,,,,,,,,,1,
ホオジロガモ 【3】,,,,,,,2,1,7,60,,,,,,,,,,,,,
カワアイサ 【3】,,,,,,32,,1,,5,460,,140,,,,,,1,3,,,
ウミアイサ 【3】,,,1,,,,120,30,10,,,,,,,,1,1,12,,,4,
カンムリカイツブリ 【1】,,,,,,,,,,,,,,,,2,,,,,,,
カワウ 【3】,,,1,,,9,,,,,,,,,,,,,1,,,2,
アオサギ 【3】,26,25,21,1,78,194,3,,,,,,,,,,3,4,11,8,4,10,2
ダイサギ,,,,,,,,,,,,,,,,,,,,,,,5
タンチョウ 【3】,,,2,,,,,,,,,,,,,,,,,,,,
キアシシギ,4,,4,,,,,,,,,,,,,,,,,,,,1
イソシギ,,1,,1,,,,,,,,,,,,,,,,,,,
オバシギ,1,,,,,,,,,,,,,,,,,,,,,,
ハマシギ,,,,,,,,,15,,,,,,,,,,,,,,
ユリカモメ 【1】,,8,17,12,,,11,,200,80,,,140,60,68,110,150,,,,,,
ウミネコ 【3】,55,48,8,31,150,,5,,25,,,,,,,3,,4,,2,2,,
カモメ 【3】,,,,,,,1,1,,,,,,,,,,,,,,,
シロカモメ 【3】,,,,,,,1,,,,,,,,,,,,,,,,
セグロカモメ 【3】,,,,1,,,3,,,,,,,,,,,,,,,,
オオセグロカモメ 【3】,15,5,6,9,17,7,8,,15,60,10,,5,10,,30,3,1,12,7,4,6,7
トビ 【3】,,,,,,,,,1,,,,,,,,,,,,,,
オジロワシ 【2】,,,,,,,,,,,1,,,1,,6,,,,,,1,
オオワシ 【2】,,,,,,,,,,,2,,4,2,,6,,,,,,,
ハシボソガラス,,,2,,,1,,,1,,,,,,,,1,,,,,,
ハシブトガラス,1,,,,2,5,2,3,3,,,8,,2,10,15,,2,,2,,2,2
ヒヨドリ,,2,,1,,,,,,,,,,,,,,,,,,,
スズメ,1,,,,,,5,,,,,,,,,,,,,,,,
ハクセキレイ,,2,,,,,,,,,,,,,,,,,,1,2,,
ベニマシコ,,,,,,,,,,,,,,,,1,,,,,,,
カモ類,,,,,,,,,,50,,,,,,,,,,,,,
