調査年月日,2023/9/6,2023/9/15,2023/9/23,2023/9/28,2023/10/6,2023/10/11,2024/4/8,2024/4/14,2024/4/27,2024/5/7,2024/5/17,2024/5/28,2024/5/29
ヨシガモ 【3】,,,,,700,,30,6,,,10,,
ヒドリガモ 【1】,,,,920,1000,1080,50,266,45,,42,,56
マガモ 【2】,,,,,,16,,,,,,,
ハシビロガモ 【3】,16,,,180,180,221,,4,,7,,,
オナガガモ 【2】,,,,850,800,850,120,188,80,35,8,,
コガモ 【3】,,,,1500,1700,720,,,,8,15,,12
カワアイサ 【3】,,,,,,,,,4,,,,
ウミアイサ 【3】,,,,,,,25,6,5,,,,
アオサギ 【3】,,,,,121,185,,,,,,,
チュウサギ,,,,,3,4,,,,,,,
コサギ,,,,,3,,,,,,,,
タンチョウ 【3】,2,,,6,4,2,2,,2,2,,,
ユリカモメ 【1】,,,,,,,,,1,,,,
シロカモメ 【3】,,,,,11,,,,,,,,
セグロカモメ 【3】,,,,,151,,,,,,,,
オオセグロカモメ 【3】,,,,,30,,,,,,,,
トビ 【3】,,,,,11,4,2,,,,,,
オジロワシ 【2】,,,,,6,2,1,,1,,,,
オオワシ 【2】,6,,,,,,,,,,,,
カモメ科 【3】,,,,,,,4,8,3,,,,
カモ類,,,,,7500,,,,,,,,
シギチドリ類,,,,,,,,,,,10,3,
