調査年月日,2023/9/5,2023/9/12,2023/9/19,2023/9/26,2023/10/3,2023/10/10,2023/10/17,2023/10/24,2023/11/7,2023/11/13,2023/11/21,2023/12/5,2023/12/12,2023/12/26,2024/1/5,2024/1/17,2024/1/23,2024/1/30,2024/2/9,2024/2/13,2024/2/28,2024/3/5,2024/3/11,2024/3/26,2024/4/2,2024/4/9,2024/4/16,2024/4/23
コクガン 【3】,,,,,,,,,,60,122,127,80,,137,168,116,136,137,88,132,87,,,18,5,,
オオハクチョウ 【1】,,1,,1,,1,4,7,,1,29,23,,71,79,220,,,248,192,219,211,112,14,3,2,1,1
オシドリ 【1】,,,,,,20,,,,,,,,,,,,,,,,,,,,,,
オカヨシガモ 【3】,,,,,,,,,,,,,,,,235,,,,,,,,,,,,
ヒドリガモ 【1】,,,,,15,63,17,75,61,96,97,55,29,36,75,35,16,100,52,57,43,58,70,143,109,80,88,72
マガモ 【2】,,,,,,,4,74,159,504,319,171,227,119,376,153,,238,73,130,,119,130,42,34,,,
カルガモ 【3】,8,26,16,15,68,27,5,44,68,144,38,104,38,74,60,95,266,97,20,18,64,78,39,11,17,23,13,
ハシビロガモ 【3】,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
オナガガモ 【2】,,,,,24,,81,56,213,116,159,278,250,168,317,,375,339,230,427,359,309,231,186,10,8,,
トモエガモ 【2】,,,,,,,,,,,,,,,,,48,,7,13,,,,,,1,,
コガモ 【3】,,,,,,,,,,,,,,8,,4,74,18,,,,6,,8,4,1,3,15
ホシハジロ 【2】,,,,,,,,,,4,8,7,5,3,1,11,,,3,19,3,4,4,3,3,1,1,
キンクロハジロ 【1】,,,,,5,,,26,,36,8,24,,15,21,25,25,7,30,31,37,41,23,,,3,,
スズガモ 【2】,,,,,,,,,7,12,,128,66,,,196,262,37,,237,,199,321,317,315,124,220,97
クロガモ 【3】,,,,,,,,,,,,,,,,,,,,,,,27,,,,,
ミコアイサ 【3】,,,,,,,,,,,,,,148,,,,325,295,,,,,,,,,
カワアイサ 【3】,,,,,,,,,,,,,,,,,,,8,17,,,,,,,,
ウミアイサ 【3】,,,,,,,,,,,,13,3,6,74,13,7,,,,2,4,25,32,32,16,16,
カイツブリ 【1】,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
カンムリカイツブリ 【1】,,,,1,,,1,1,,,,,,,1,,,,,,,,2,2,,,,
ミミカイツブリ,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,
ハジロカイツブリ,,,,,,,,,,,,1,1,,,8,2,,4,7,7,11,5,,,,,
カワウ 【3】,188,175,,164,74,122,99,152,127,136,143,94,60,39,36,16,27,17,20,12,8,4,7,7,12,10,2,7
ウミウ,,,137,,,,,63,21,33,35,13,6,31,113,31,90,76,20,29,2,5,11,,17,3,,1
アマサギ,12,,,,,,,,,,,,,,,,,,,,,,,,3,,,
アオサギ 【3】,5,2,,,8,14,3,4,,3,3,,3,,,,,,,2,,,3,9,19,1,,1
ダイサギ,,,6,8,3,3,1,4,,1,4,,,1,1,1,,,,2,,,1,,,,1,1
チュウサギ,,4,,,1,,,,,,,,,,,,1,,2,,,,,,,,,
コサギ,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1
クロツラヘラサギ,,,6,11,,,,,,,,,,3,3,,1,,3,,4,,,,,,,
オオバン 【2】,,,,,,,,1,43,120,149,260,136,175,204,173,209,199,233,135,120,101,219,117,101,100,34,5
イソシギ,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
オバシギ,,,,,,,,,,,,,,,,,,,,,,25,,,,,,
ハマシギ,,,,,,,,,,68,125,128,,56,75,,85,,78,,49,,,82,,,16,
ユリカモメ 【1】,,,,,,,,,,,,9,12,40,25,33,45,,44,50,35,55,25,,13,,,
ウミネコ 【3】,706,,392,342,295,221,291,317,98,93,120,127,42,121,37,83,303,61,24,86,60,30,70,,357,36,28,114
カモメ 【3】,,,,,,,,,,,,,11,,30,167,285,765,255,,1035,510,250,110,15,,,
セグロカモメ 【3】,,,,,,,,,,,,,1,7,,1,3,3,1,3,,,3,1,,,,
オオセグロカモメ 【3】,85,,68,41,56,68,32,36,66,40,77,105,36,573,91,139,524,272,84,387,171,293,289,280,249,42,38,93
ミサゴ 【3】,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,
トビ 【3】,,,2,2,,,,1,,1,,2,,2,4,,,,,,,,1,2,1,,1,4
ノスリ 【2】,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
ウ科,,,,,,,,,2,3,2,5,3,3,4,5,7,5,5,7,2,5,11,,,,,
カモ類,,,,,,,,,,,2,6,8,2,,3,15,7,2,19,7,,15,8,10,,2,
