調査年月日,2024/9/3,2024/9/13,2024/9/25,2024/10/1,2024/10/15,2024/10/22,2024/11/5,2024/11/12,2024/11/26,2024/12/3,2024/12/17,2024/12/24,2025/1/7,2025/1/14,2025/1/21,2025/2/3,2025/2/12,2025/2/22,2025/3/4,2025/3/18,2025/3/25,2025/4/2,2025/4/16,2025/4/22,2025/5/2,2025/5/14
マガン 【1】,,,,,,,,,,,,,1,1,,1,1,,,,,,,,,
ツクシガモ,,,,,,,,,,,,4,6,2,,,,,,,,,,,,
トモエガモ 【2】,,,,,,,,,,12,,,,31,26,,58,,,,,,,,,
シマアジ 【3】,,12,34,29,,,,,,,,,,,,,,,,,,1,,,,
ハシビロガモ 【3】,,,10,19,45,205,10,52,8,,,,1,1,,,,1,,,2,,,4,,
オカヨシガモ 【3】,,,,1,1,46,40,145,170,132,70,62,83,84,72,116,91,126,119,85,60,78,36,16,2,1
ヨシガモ 【3】,,,,,,,,4,,,,,,,,,,,1,,,,,,,
ヒドリガモ 【1】,,,4,31,197,343,286,184,58,111,50,61,153,128,93,96,120,77,86,94,112,108,167,159,15,3
カルガモ 【3】,399,521,306,437,262,185,180,159,210,178,152,167,185,177,193,222,268,190,202,188,113,108,207,88,27,46
マガモ 【2】,23,60,36,38,76,79,66,153,117,122,90,92,156,212,74,141,175,112,64,81,70,46,32,16,7,4
オナガガモ 【2】,,11,85,237,644,703,876,560,734,797,774,1458,2066,2008,1973,1850,2174,1200,150,23,13,12,12,6,2,
コガモ 【3】,,15,255,779,1373,1372,193,402,93,159,104,136,283,145,104,155,192,217,112,146,203,216,209,213,123,17
ホシハジロ 【2】,,4,5,2,3,317,26,30,54,103,81,101,175,189,125,215,136,159,121,249,53,29,10,11,,3
アカハジロ 【3】,,,,,1,,,,,,,,,,,,,,,,,,,,,
キンクロハジロ 【1】,,2,4,4,64,25,111,108,64,179,340,291,382,403,319,425,330,547,658,335,378,278,195,49,28,5
スズガモ 【2】,4,8,7,17,235,869,1174,1385,1558,1612,2272,1063,1454,2000,1632,1256,1753,746,2653,1614,1495,1279,902,669,430,133
ホオジロガモ 【3】,,,,,,,,,1,,2,,1,,1,2,1,2,4,3,,,,,,
ウミアイサ 【3】,,,,,,,,,,,,,,,,,,,2,2,,2,,,,
キジ,,,,,,,,,,,,,,1,,,,,,,,,,,,
キジバト,6,6,6,3,4,3,3,4,4,2,3,3,7,1,1,5,9,3,3,5,4,2,10,6,3,5
オオバン 【2】,,,,,2,2,33,21,17,20,22,24,30,34,21,32,37,30,24,27,29,36,17,17,3,1
カイツブリ 【1】,,,,,,,,,,,,,1,1,,,1,1,,1,,,,,,
カンムリカイツブリ 【1】,1,2,4,4,7,40,81,164,67,118,205,220,167,113,88,72,74,39,71,87,96,98,115,13,4,4
ハジロカイツブリ,,,,,,,,1,11,5,9,8,15,6,9,7,11,3,5,5,2,,,,,
ミヤコドリ,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,
セイタカシギ,,,,,,,,,,,,,,,,,,,,,,,,,,2
ケリ,40,8,14,20,,2,3,,,3,2,6,3,1,,,2,2,,,1,,,,,
ダイゼン,21,35,29,35,39,44,40,23,41,44,47,18,42,37,22,28,53,58,53,45,40,44,38,45,35,45
ハジロコチドリ,,,,,1,1,,,,,,,,,,,,,,,,,,,,
コチドリ,5,,,,,,,,,,,,,,,,,,,2,6,5,,6,,2
シロチドリ,3,,,26,13,21,,2,12,4,11,1,13,23,9,,26,17,1,19,,,,,,
メダイチドリ,,,,10,14,22,,,,,,,,,,,,,,,,,,1,,
