調査年月日,2024/9/5,2024/9/16,2024/9/27,2024/10/3,2024/10/16,2024/10/29,2024/11/1,2024/11/15,2024/11/27,2024/12/3,2024/12/13,2024/12/25,2025/1/3,2025/1/15,2025/1/29,2025/2/4,2025/2/18,2025/2/25,2025/3/1,2025/3/19,2025/3/31,2025/4/6,2025/4/14,2025/4/28,2025/5/1
ハシビロガモ 【3】,,,,,,13,23,34,84,82,102,157,145,162,185,65,135,142,145,74,21,5,,,
オカヨシガモ 【3】,,,,,,2,2,11,16,36,37,54,49,86,55,104,87,74,72,38,9,,,,
ヒドリガモ 【1】,,,,,4,62,61,63,58,120,98,177,170,159,165,198,204,195,129,273,109,139,21,,
カルガモ 【3】,10,4,5,4,5,4,2,5,3,16,6,20,10,7,5,24,2,12,1,7,19,13,7,9,4
マガモ 【2】,,,,,1,1,,,,,,,,1,1,1,,,,,,,,,
オナガガモ 【2】,,,,,,1,,9,9,34,3,18,12,5,29,6,50,49,17,1,,,,,
コガモ 【3】,,,1,,111,133,130,88,92,122,71,188,127,106,104,45,231,318,45,96,52,12,19,,
ホシハジロ 【2】,10,7,10,1,10,26,115,210,1147,1412,794,749,688,782,874,471,529,902,939,114,109,37,22,17,8
キンクロハジロ 【1】,1,1,1,,1,3,3,,7,16,5,1,35,9,9,6,7,4,5,,4,4,4,1,2
スズガモ 【2】,,,,,1,,,9,20,5,19,36,24,62,65,53,65,97,102,2,16,1,2,2,2
シノリガモ 【3】,,,,,,,,,,,,,,,,,,,1,,,,,,
ホオジロガモ 【3】,,,,,,,,1,1,4,,4,4,2,3,1,2,7,8,,,,,,
ウミアイサ 【3】,,,,,,,,2,3,7,2,5,2,3,1,4,2,5,6,11,5,6,,,
オオバン 【2】,,,,,,,,5,7,7,13,17,50,45,71,41,43,63,36,90,53,51,12,5,
カイツブリ 【1】,,,,,,,,,,,,,,,,,,,,,,1,,,
カンムリカイツブリ 【1】,,,,,,1,2,90,42,61,26,7,6,1,3,2,1,4,2,3,4,8,5,6,2
ハジロカイツブリ,,,,,,,,2,1,2,2,2,1,1,2,2,3,13,11,8,,,,,
コチドリ,,,,,,,,,,,,,,,,,,,,1,1,2,1,1,1
シロチドリ,,,12,,,,,,,,,,,,,,,,,,,,,2,1
メダイチドリ,,,,,,,,,,,,,,,,,,,,,,,,3,
チュウシャクシギ,,,,,1,,,,,,,,,,,,,,,,,,,7,6
キョウジョシギ,1,,,,,,,,,,,,,,,,,,,,,,,,1
トウネン,,5,3,,,,,,,,,,,,,,,,,,,,,,1
ミユビシギ,,,2,,,,,,,,,,,,,,,,,,,,,,
ハマシギ,,,,,,,,,,,,,,,,,,,,,,,,18,
ソリハシシギ,,1,,,,,,,,,,,,,,,,,,,,,,,
イソシギ,4,6,11,5,6,5,5,4,6,4,3,3,2,1,2,1,1,3,3,1,4,3,3,1,5
キアシシギ,,,,,,,,,,,,,,,,,,,,,,,,2,6
ユリカモメ 【1】,,,,27,195,29,3,40,14,66,47,18,36,35,124,39,46,39,12,36,116,52,131,5,1
ウミネコ 【3】,114,179,101,84,35,30,2,1,48,1,2,1,,,,,,,,,,,,,
カモメ 【3】,,,,,,,,,,,,,,,,2,,,,1,22,,5,,
セグロカモメ 【3】,,,5,9,12,20,14,11,28,8,3,2,3,4,2,1,1,2,2,2,4,1,1,,
コアジサシ,,,,,,,,,,,,,,,,,,,,,,,,2,
ウミウ,,,,,,,,,,,1,1,,1,,,,,,,,,,,
カワウ 【3】,57,29,87,77,99,728,45,39,25,32,43,3000,6,25,14,11,19,11,8,12,10,7,6,18,31
ササゴイ,,,,,,,,,,,,,,,,,,,,,,,,,2
アオサギ 【3】,13,24,17,15,22,16,17,13,4,11,3,6,4,3,2,3,4,5,5,3,5,5,5,2,4
ダイサギ,13,24,17,8,8,3,,1,,,,,,,,,,,,,,,,2,1
コサギ,3,8,5,10,3,4,5,3,2,,1,,1,,,,1,,1,1,3,1,4,1,1
ミサゴ 【3】,1,2,1,1,4,3,2,2,3,1,4,5,3,2,2,2,2,2,2,1,1,2,1,2,1
トビ 【3】,1,1,1,1,,2,2,2,2,1,1,1,2,1,2,1,1,1,1,1,1,1,,1,1
チョウゲンボウ 【3】,,,,,,,,1,,,,,1,,1,,,,,,,,,,
タヒバリ,,,,,,,,,,,,3,,,,,1,,2,,,,,,
