調査年月日,2024/9/3,2024/9/19,2024/9/26,2024/10/2,2024/10/17,2024/10/25,2024/11/7,2024/11/16,2024/11/29,2025/4/10,2025/4/25
(亜種)シジュウカラガン 【1】,,,,,2,,,,,,
(亜種)オオヒシクイ 【1】,,7,111,114,335,266,167,234,,227,
(亜種)ヒシクイ 【1】,,,,2,,,4,,,,
マガン 【1】,,10,5890,39660,7980,1358,450,199,,19050,21250
コハクチョウ 【1】,,,,,136,34,,19,,550,
オオハクチョウ 【1】,,,,,,,30,61,,270,44
トモエガモ 【2】,,,,2,,2,,,,,
ハシビロガモ 【3】,,,6,8,12,16,2,3,,,
ヨシガモ 【3】,,,,1,,,,,,2,
ヒドリガモ 【1】,,2,12,16,76,35,16,8,4,18,
カルガモ 【3】,22,32,77,42,2,8,,,,10,10
マガモ 【2】,,19,17,13,55,28,68,62,45,,
オナガガモ 【2】,1,80,249,684,808,1493,48,598,182,,
コガモ 【3】,,135,220,864,213,217,21,113,104,10,9
ホシハジロ 【2】,,3,8,9,10,4,12,3,,,2
キンクロハジロ 【1】,2,,9,12,8,36,22,7,,41,145
スズガモ 【2】,,,,3,2,,4,,,,
ミコアイサ 【3】,,,,,8,16,172,84,25,1,
カワアイサ 【3】,,,,,,,10,22,36,3,
オオバン 【2】,35,31,17,10,2,,1,2,,,
カイツブリ 【1】,,15,11,10,1,5,1,,,,
カンムリカイツブリ 【1】,40,26,23,19,3,6,7,2,,4,
ハジロカイツブリ,,,1,5,1,3,1,,,,
ユリカモメ 【1】,,,1,,,7,6,2,,,
カワウ 【3】,1,,,,,,,,,,
アオサギ 【3】,7,9,4,13,1,1,,,,3,
ダイサギ,,3,8,32,2,1,,1,14,,
チュウサギ,,,,1,,,,,,,
オオタカ 【1】,,,,,1,,,,,,
チュウヒ,1,,1,,,,,,,,
トビ 【3】,1,,1,1,2,4,1,1,,18,2
オジロワシ 【2】,,,,,,,,,,3,2
