調査年月日,2024/9/5,2024/9/15,2024/9/26,2024/10/6,2024/10/14,2024/10/24,2024/11/5,2024/11/16,2024/11/26,2024/12/5,2024/12/15,2024/12/30,2025/1/13,2025/1/24,2025/2/6,2025/2/18,2025/2/24,2025/3/5,2025/3/18,2025/3/26,2025/4/2,2025/4/14,2025/4/30,2025/5/5
ハシビロガモ 【3】,,,1,,,,,,,,,,,,,,,,,,,,,
コガモ 【3】,,,,,,1,,,,,,,,,,,,,,,,,,
キジバト,3,2,6,5,7,8,6,2,1,13,5,3,5,4,2,6,3,3,3,5,12,8,5,5
バン,,1,,,3,,,1,1,1,4,1,,2,3,1,4,6,2,2,1,2,,
オオバン 【2】,,,,,,,,,,,1,,,,,,,,,,,,,
カイツブリ 【1】,,,,,,,,,1,,,,,,,,,,,,,,,
セイタカシギ,1,,,,,,,,,,,,,,,,,,,,13,,,
ソリハシセイタカシギ,,,,,,,,2,3,3,3,1,,,,,,,,,,,,
ムナグロ,16,2,19,,7,6,10,4,12,16,,21,12,10,12,10,8,,16,,28,,26,7
ダイゼン,,,1,,,,,,1,1,,1,1,,,1,,,,,,,,
コチドリ,1,3,4,24,7,,30,14,23,25,,16,6,2,2,15,10,6,12,,4,1,,
シロチドリ,,,,,,,,,4,11,,25,31,,,,,,12,,,,,
メダイチドリ,,,1,,,,,,1,,,,,,,,,,,,,,,
チュウシャクシギ,27,3,8,6,3,20,11,5,11,9,3,17,10,5,5,4,2,5,7,9,11,3,14,1
ダイシャクシギ,,,,,,,,,,,,1,,,,1,,,1,,,,,
キョウジョシギ,1,,,,,,,,,,,,,,,,,,,,,,,1
ヒバリシギ,,,,,,,,,,1,,1,,,,,,,,,1,,,
トウネン,,,1,,,,,,,,,,,,,,,,,,,,,
ハマシギ,,,,,,,10,,6,12,,2,2,,,,,,,,,,,
タシギ,,,,,,,1,,3,,,,,,,4,,,,,,,,
ソリハシシギ,,,,,,,,,,,,,,,,,,,,,,1,1,
イソシギ,16,5,45,15,7,11,29,6,10,5,6,13,12,13,3,4,4,7,5,3,9,5,6,5
キアシシギ,12,2,8,4,1,7,,1,,,,,,,,,,,,,,,19,9
アカアシシギ,9,6,22,16,4,31,18,9,16,13,9,20,22,8,15,9,19,6,21,2,14,6,8,2
コアオアシシギ,,,,,1,,,,,,,,,,,,,,,,,,,
アオアシシギ,4,2,8,5,1,3,5,3,4,5,6,6,5,4,2,1,2,,2,2,3,1,5,2
コアジサシ,,,,,,,,,,,,,,,,,,,,,,,,3
クロハラアジサシ,,1,1,,,1,,,,,,,,,,,,,,,,,7,2
カワウ 【3】,,,,,,,,,,1,1,1,1,3,5,2,40,,1,1,1,,,
ヘラサギ,,,,,1,,,,,,,,,,,,,,,1,1,1,1,1
クロツラヘラサギ,1,2,4,2,2,3,6,4,3,,,,,,,,,,,2,3,2,3,2
ゴイサギ,1,,,,,1,,,1,,,,,,,1,,,,,,,,
ササゴイ,,,1,1,,,,1,,,,1,,,,,,,,,2,,,
アマサギ,,,1,,,,,,,,,,,,,,,,,,4,,,
アオサギ 【3】,3,2,7,3,3,10,5,7,4,10,2,4,4,2,3,2,1,2,5,1,1,2,3,1
ダイサギ,10,8,18,33,20,26,9,7,2,6,7,3,6,2,2,3,1,2,3,2,19,4,8,3
チュウサギ,4,4,4,6,1,1,8,1,,1,,2,1,,1,2,,1,1,1,1,3,10,
コサギ,12,6,21,8,13,7,5,10,10,18,4,12,13,4,3,10,7,6,8,9,6,5,15,4
クロサギ,1,,,,,,,,,,,,,,,,,,,,,,,
ミサゴ 【3】,,1,1,3,1,2,3,2,5,3,1,4,4,1,2,2,2,,2,1,1,,,
ツミ 【3】,,,,,,,,,1,,,,,,,,,,,,1,,,
ハイタカ,,,,,,,,,,1,,,,,,,,,,,,,,
サシバ,,,,1,1,,1,,1,2,1,1,1,,,,,,1,,,,,
カワセミ,1,1,3,3,2,1,1,1,3,1,2,2,3,1,1,4,2,2,2,2,4,3,2,3
ハヤブサ 【1】,,,,,,,1,,,,,,,,,1,,,,,,,,
アカモズ,,,,1,,,,,,,,,,,,,,,,,,,,
ハシブトガラス,1,4,11,11,2,13,14,4,7,7,6,9,7,9,2,38,10,7,10,3,24,6,4,4
シジュウカラ,1,,4,6,1,2,2,,4,10,,5,5,1,,1,,3,4,,5,,2,2
ヒヨドリ,14,7,12,15,12,10,16,11,6,14,8,10,14,6,6,13,2,13,15,10,23,13,15,9
シロガシラ,6,3,10,13,2,6,10,,22,4,3,3,13,3,1,4,2,2,15,3,8,11,8,2
リュウキュウツバメ,4,,,,2,2,3,1,,3,,11,4,,,4,,,2,1,3,3,4,
ツバメ,4,,5,6,,,,,,,,,,,,,,,,,,,,
ウグイス,,,,,,1,,,11,20,3,7,6,2,1,,1,4,2,1,,1,,2
メジロ,7,4,12,15,13,13,14,9,10,24,10,30,37,9,9,6,5,6,19,9,15,9,13,7
ギンムクドリ,,,,,,26,,,2,,,20,7,,,,,,,,,,,
ムクドリ,,,25,110,,260,242,1,363,470,,452,363,,,352,,,,,304,,,
コムクドリ,,,,1300,,50,,,,,,,,,,,,,,,,,,
カラムクドリ,,,35,35,,75,30,,,10,,50,21,,,32,,,,,,,,
ホシムクドリ,,,,1,,6,85,,278,170,,349,350,,,259,,,4,,,,,
シロハラ,,,,,,,,,2,4,3,4,2,2,2,1,1,2,3,,3,,,
エゾビタキ,,,,1,,1,,,,,,,,,,,,,,,,,,
イソヒヨドリ,1,2,4,1,1,4,3,2,2,5,3,3,2,2,1,5,3,3,5,2,2,3,6,3
スズメ,,,,,,,,,,,,,,,,,,1,,,,,1,
キセキレイ,,,1,,,,,,1,,1,1,,,1,,1,1,,,,,,
ハクセキレイ,,,,,,,,,1,1,,,,2,1,2,,,3,1,,,,
ドバト,6,,2,2,4,,2,2,,14,3,5,3,1,2,2,3,2,31,1,8,2,4,3
シマキンパラ,,,160,100,,272,1000,,298,105,6,15,20,,6,85,6,,2,,4,4,2,
アヒル,,2,,,,,,,,,,,,,,,,,,,,,,
バリケン,,,,,,8,4,,3,,,2,1,,,2,,,,,3,,2,
