調査年月日,2024/10/7,2024/10/18,2024/10/27,2024/11/5,2024/11/15,2024/11/25,2024/12/5,2024/12/15,2024/12/26,2025/1/5,2025/1/18,2025/1/27,2025/2/6,2025/2/17,2025/2/24,2025/3/5,2025/3/17,2025/3/27,2025/4/7
ヒシクイ 【1】,,,,,126,118,,,,,,,34,14,6,1,,,
(亜種)オオヒシクイ 【1】,,2,10,,,,76,124,86,202,142,22,,,,,,,
マガン 【1】,,,2,,,,,,,,9,9,,,,,,,
コハクチョウ 【1】,,4,48,,3,45,24,32,12,14,,40,12,12,84,195,,,
オオハクチョウ 【1】,,,,,,,,,,,,,,,,1,,,
トモエガモ 【2】,,,,,2,30,12,12,,12,,340,,,,,,,
シマアジ 【3】,4,,,,,,,,,,,,,,,,,,
ハシビロガモ 【3】,6,14,18,,4,2,,,,,,,,,,,,,
オカヨシガモ 【3】,,11,,,4,,,,10,2,18,19,4,4,11,8,9,,11
ヨシガモ 【3】,288,279,256,86,45,6,,,22,1,7,1,1,8,,,12,11,34
ヒドリガモ 【1】,302,865,345,234,303,205,12,2,36,24,29,12,14,34,28,26,17,18,26
カルガモ 【3】,24,12,11,15,34,42,121,96,67,118,109,122,89,44,89,30,21,29,37
マガモ 【2】,66,34,44,158,208,104,98,132,184,68,82,46,121,129,86,263,43,48,67
オナガガモ 【2】,,18,23,7,18,16,2,,23,,1,25,65,32,,,3,,
コガモ 【3】,78,64,265,71,44,48,8,2,11,4,3,18,8,19,21,54,19,8,12
オオホシハジロ 【3】,,,,,,,,,,,,,1,1,1,1,,,
ホシハジロ 【2】,987,1203,4602,2069,3005,845,56,82,34,19,28,21,11,8,10,6,8,8,24
キンクロハジロ 【1】,602,1009,997,258,412,451,145,132,174,246,283,195,201,69,369,280,172,56,74
スズガモ 【2】,,,128,22,28,49,11,13,34,18,21,94,14,23,86,67,48,32,45
ホオジロガモ 【3】,,,,4,6,6,8,6,12,28,22,21,28,14,16,10,28,29,20
ミコアイサ 【3】,,,,,,,5,,,,,,,,,,,,
カワアイサ 【3】,,,,1,27,21,18,16,33,25,27,20,16,12,,2,1,1,1
ウミアイサ 【3】,,,,1,,1,2,,2,2,1,2,,,4,,,,
バン,6,8,2,1,,,,,,,,,,,,,,,1
オオバン 【2】,1287,2174,3781,1811,2036,1056,856,932,1421,1003,982,1412,657,341,495,286,341,321,148
カイツブリ 【1】,18,18,22,2,6,,2,3,2,1,4,3,2,1,,1,2,3,2
カンムリカイツブリ 【1】,19,20,32,60,65,68,57,63,66,102,119,280,39,24,33,23,27,22,46
ハジロカイツブリ,,4,28,4,200,400,8,204,12,60,28,12,,,,16,4,6,4
カモ類,,,2000,2000,910,800,80,61,120,,600,455,241,355,428,678,204,315,102
