調査年月日,2024/10/11,2024/10/12,2024/10/27,2024/11/8,2024/11/22,2024/12/4,2024/12/13,2024/12/27,2025/1/3,2025/1/20,2025/2/2,2025/2/19,2025/2/27,2025/3/6,2025/3/19
マガン 【1】,,2,2,,,,,,,,,,128,15,60
コハクチョウ 【1】,,2,,,,,,,,,,,,,
オオハクチョウ 【1】,,23,34,60,16,29,148,10,139,78,55,118,101,65,64
オシドリ 【1】,1,1,1,1,1,,,,,,,,,,
トモエガモ 【2】,,,,,,,,,,,,,5,,
ヒドリガモ 【1】,6,6,25,36,23,37,24,1,25,19,8,26,17,33,40
カルガモ 【3】,28,64,62,95,64,106,81,78,92,91,108,54,38,51,41
マガモ 【2】,20,30,40,65,40,45,38,41,35,35,34,23,28,38,30
オナガガモ 【2】,11,8,88,108,87,140,209,192,137,266,182,224,175,171,176
コガモ 【3】,1,,,,1,,1,5,5,5,,,,,
ホシハジロ 【2】,,28,,12,,,21,9,17,28,43,,1,,4
キンクロハジロ 【1】,5,16,24,37,36,63,52,37,31,39,30,33,84,59,31
ミコアイサ 【3】,,,,8,5,15,38,12,4,4,7,5,8,4,3
カワアイサ 【3】,,,,,1,9,67,2,,,,,,1,3
オオバン 【2】,,1,,38,,39,41,16,,41,49,51,49,28,27
カイツブリ 【1】,4,3,2,5,1,2,1,,,,,,,,
カンムリカイツブリ 【1】,1,,4,4,4,6,6,,,,,,,,2
カワウ 【3】,1,,1,,1,1,1,1,,,,,1,,
ダイサギ,,1,,,,,,,,1,,,,,
