調査年月日,2024/9/5,2024/9/7,2024/9/16,2024/9/19,2024/9/24,2024/9/25,2024/9/30,2024/10/1,2024/10/8,2024/10/9,2024/10/11,2024/10/12,2024/10/14,2024/10/16,2024/10/18,2024/10/21,2024/10/24,2024/10/28,2024/11/1,2024/11/8,2024/11/13,2024/11/19,2024/11/26,2024/12/4,2024/12/11,2024/12/18,2024/12/25,2025/1/1,2025/1/8,2025/1/15,2025/1/22,2025/1/30,2025/2/12,2025/2/17,2025/2/26,2025/3/6,2025/3/12,2025/3/19,2025/3/24,2025/3/27,2025/3/31
マガン 【1】,,,,,,,,,,,,2,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
コブハクチョウ 【1】,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
コハクチョウ 【1】,2,2,2,2,2,2,2,2,2,3,4,84,184,269,973,947,635,978,959,973,633,802,773,537,350,434,630,510,228,292,286,448,175,452,402,407,436,511,556,424,470
(亜種)アメリカコハクチョウ 【1】,,,,,,,,,,,,,,,,,,,,1,,,,,,2,2,1,1,,,2,,,,,,,,,
オオハクチョウ 【1】,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,12,8,10,24,21,39,62,59,66,88,96,99,120,113,116,118,118,58,75,88,86,27,5,3,2,3
オシドリ 【1】,,,,,,,,,7,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
トモエガモ 【2】,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,5,,6,7,2,3,,7,,,,
ハシビロガモ 【3】,,,,,,,,,,,5,,,,,4,,,1,,,,,,,,1,,1,3,5,9,6,11,4,1,1,1,10,10,
ヨシガモ 【3】,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
ヒドリガモ 【1】,,,,,2,,,,3,2,10,9,6,6,,7,,9,7,,,7,1,7,2,,,,5,2,4,2,1,,,2,2,1,,,
カルガモ 【3】,,,,,,,,,2,6,5,1,3,,,,,,,,1,,,,,,,,,,,,1,,,,,,,2,
マガモ 【2】,2,3,3,3,13,1,2,,16,31,27,2,6,14,,50,83,102,120,87,198,244,121,257,438,332,551,325,277,242,234,308,260,174,326,265,273,184,157,46,
オナガガモ 【2】,,,,,2,,5,5,16,31,40,42,65,46,,98,150,352,276,366,480,694,672,343,711,648,1118,984,742,820,694,463,684,227,433,153,95,40,44,30,
コガモ 【3】,2,,75,147,83,10,44,11,14,37,42,101,84,46,,17,89,93,81,39,152,151,544,525,690,591,834,1010,808,662,883,634,699,506,535,696,237,38,58,9,
ホシハジロ 【2】,,,,,,,,,,1,,,,,,7,,,4,,2,1,,,10,7,6,9,16,23,29,29,26,24,14,26,15,26,34,27,
キンクロハジロ 【1】,,,,2,,,2,,,,,,1,,,4,,,,,,,,,,,,,,,,,2,5,2,4,1,5,11,2,
スズガモ 【2】,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ミコアイサ 【3】,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,4,,,,,,
オオバン 【2】,,,,,,,,,,,,,,,,,2,2,2,,2,,2,,,,,1,5,2,7,6,7,6,5,7,5,6,5,6,
カイツブリ 【1】,1,,,,,2,2,2,,1,1,,,1,,,,,,,,,,,,,,,1,,,,,,,1,1,3,3,1,
カンムリカイツブリ 【1】,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,
カモ類,1,1,1,1,,1,1,1,1,1,1,1,1,,,,,1,1,,,,,,,,,,1,,,,,,,1,,,1,,
