調査年月日,2024/10/6,2024/10/20,2024/11/10,2024/11/20,2024/12/13,2024/12/25,2025/1/11,2025/1/22,2025/2/10,2025/2/24,2025/3/7,2025/3/22
トモエガモ 【2】,,,,5,,10,,,,,,
ハシビロガモ 【3】,,,5,,1,,,,,,,
オカヨシガモ 【3】,,,13,,,1,,,,,,
ヨシガモ 【3】,,,,,,,1,,,,,
ヒドリガモ 【1】,2,2,44,53,62,21,4,31,30,21,39,59
カルガモ 【3】,58,77,109,91,112,109,64,81,102,121,133,113
マガモ 【2】,2,15,124,142,83,259,128,186,136,157,133,67
オナガガモ 【2】,,,,,,5,1,,,2,1,
コガモ 【3】,6,,3,14,6,25,9,7,1,11,45,6
ホシハジロ 【2】,,,5,16,11,7,7,18,39,28,32,41
キンクロハジロ 【1】,3,30,244,256,74,53,27,22,6,6,5,7
スズガモ 【2】,,,95,38,172,105,32,74,65,28,13,
ホオジロガモ 【3】,,,,,2,2,1,2,1,1,1,1
ミコアイサ 【3】,,,,,3,2,3,2,1,16,1,2
オオバン 【2】,,,6,8,7,6,2,1,4,3,1,1
カイツブリ 【1】,,,1,2,1,2,,1,2,5,2,5
カンムリカイツブリ 【1】,,,2,6,2,2,1,1,4,1,1,
ハジロカイツブリ,,,,1,3,3,12,7,,13,6,7
カワウ 【3】,19,139,26,21,25,157,33,5,8,3,6,9
アオサギ 【3】,4,5,3,3,4,1,2,1,2,1,1,
ダイサギ,3,7,1,,,,,,,,,2
コサギ,1,1,1,,2,,1,,,,1,1
