調査年月日,2024/9/5,2024/9/19,2024/9/23,2024/10/2,2024/10/16,2024/10/28,2024/11/4,2024/11/13,2024/11/28,2024/12/2,2024/12/11,2025/1/29,2025/2/7,2025/2/19,2025/2/26,2025/3/8,2025/3/16,2025/4/20,2025/4/25,2025/5/5,2025/5/11
オオハクチョウ 【1】,,,,,105,180,70,210,25,340,197,240,15,250,6,25,105,,,,
ヒドリガモ 【1】,,,,,,,,,,4,2,,,,,,,,,,17
オナガガモ 【2】,,,,,,,,,,,21,,18,,,,,,,,1
キンクロハジロ 【1】,,,,,,2,,,,,,,,,,,,,,,
スズガモ 【2】,,,,,,4,2,,3,3,5,,2,,,,,,,,
ホオジロガモ 【3】,,,,,,1,,,3,4,2,2,5,,,,,,,,
カワアイサ 【3】,,,,,,,1,,,,,,8,,,,,,,,
ウミアイサ 【3】,,,2,,,1,,2,5,3,3,1,,,,,,20,,2,3
タンチョウ 【3】,,,,,,,,,,,,,,,,,,4,,,
カンムリカイツブリ 【1】,,,,,,,,,,1,,,1,1,,,,,,,
キアシシギ,,,,,,,,,,,,,,,,,,,,10,
ユリカモメ 【1】,,2,16,5,44,2,1,210,8,3,37,70,,200,200,2,,,1,,
ウミネコ 【3】,20,19,13,70,98,150,5000,110,51,1,,,,,300,,4,,,,
カモメ 【3】,,,1,,,,,10,1,,,,,,,,,,,,
シロカモメ 【3】,,,,,,,,,,,,,,,2,,,,,,
セグロカモメ 【3】,,,,5,18,,,,,,,,,,,,,,,,
オオセグロカモメ 【3】,90,1,3,12,8,10,30,5,20,3,4,11,7,5,43,2,105,6,5,1,5
カワウ 【3】,48,1,,6,,,,,,,,,,,,,,,1,,
アオサギ 【3】,58,12,,60,,44,9,34,12,12,,,,,,,3,,1,,5
ダイサギ,1,,,,,,,,,,,,,,,,,,,,
ツミ 【3】,,,,,,,,,,1,,,,,,,,,,,
トビ 【3】,,,,,1,,,,,,,,1,,,,,,,1,
ハシボソガラス,,2,,,,,,,,,,,,,,,,,,,
ハシブトガラス,4,1,4,2,10,2,2,,2,2,,,3,,2,,,,1,1,6
スズメ,,,,1,,1,10,,,,,,,,,,,,,,1
ハクセキレイ,,1,,1,1,,,,,,,,,,,,,,,,
