調査年月日,2024/9/10,2024/9/16,2024/9/24,2024/10/5,2024/10/17,2024/10/31,2024/11/7,2024/11/12,2024/11/21,2024/12/20,2024/12/28,2025/1/3,2025/1/11,2025/1/27,2025/2/6,2025/2/11,2025/2/24,2025/3/1,2025/3/11,2025/3/21
オオハクチョウ 【1】,,,,,,,7,7,,,5,1,5,,,,,,,
ハシビロガモ 【3】,,,,,,5,,,,,,,,,,,,,,
マガモ 【2】,,,,,3,,,,,,,15,10,12,15,,,6,30,
オナガガモ 【2】,,,,10,150,150,110,30,,,,,,,,,,4,,
スズガモ 【2】,,,,,,,,,,,,,5,,,,,,,
カワアイサ 【3】,,,,,,,,30,,,,,,,,,,,,10
タンチョウ 【3】,2,,,,2,2,,,,,,,,,,,,,,
オオセグロカモメ 【3】,,,,,,,,,,,,,,10,,,,,,
アオサギ 【3】,200,,270,30,15,,,,,,,,,,,,,,,
ダイサギ,2,,,,,,,,,,,,,,,,,,,
オオワシ 【2】,,,,,,,,,,,,,,,,,,1,2,1
オジロワシ 【2】,,,,,2,1,,,,,,,1,1,,,,,,1
カモメ科 【3】,,,,,,,,,,,,,,10,,,,,,
カモ類,,,,300,,,,30,,,4,,5,,,,,,,
シギチドリ類,,,,,,,30,,,,,,,,,,,,,
