調査年月日,2024/9/3,2024/9/10,2024/9/17,2024/9/24,2024/10/1,2024/10/15,2024/10/22,2024/10/29,2024/11/5,2024/11/12,2024/11/26,2024/12/3,2024/12/18,2024/12/24,2025/1/7,2025/1/14,2025/1/21,2025/2/4,2025/2/11,2025/2/18,2025/2/25,2025/3/4,2025/3/11,2025/3/18,2025/3/29,2025/4/8,2025/4/15,2025/4/22,2025/5/6,2025/5/13
コクガン 【3】,,,,,,,,,,,,81,114,104,102,,,98,37,132,66,11,39,46,21,5,13,,,
コブハクチョウ 【1】,,,,,,,,,,,,,,,,,,,,,,,,,,3,,2,,3
オオハクチョウ 【1】,,,1,2,2,3,1,,16,13,10,,151,121,73,213,167,175,134,142,180,169,17,12,9,4,2,2,1,3
トモエガモ 【2】,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
ヒドリガモ 【1】,,,,,,88,44,29,76,117,73,46,58,38,21,15,14,14,10,20,27,15,,93,187,139,113,87,13,
カルガモ 【3】,,2,13,2,15,64,26,4,21,41,122,57,61,24,29,46,34,15,39,33,28,33,31,26,10,6,,19,3,15
マガモ 【2】,,,,,,18,12,62,154,72,166,220,210,132,75,147,97,47,74,28,46,56,64,201,224,157,11,,,
オナガガモ 【2】,,,,,,,,,131,202,136,147,199,193,209,171,185,256,,1315,233,,20,1824,653,31,,,,
コガモ 【3】,,,,,,,,,,,,,,,,9,2,,5,,,,3,27,13,,,,,
ホシハジロ 【2】,,,,,,,,,1,,4,11,2,5,8,4,3,7,,1,5,2,4,9,4,5,,,,
キンクロハジロ 【1】,,,,,,,,,43,41,12,16,26,16,15,15,16,24,22,23,24,,,,,,,,,2
スズガモ 【2】,,,,,,,,4,,73,64,163,144,207,126,445,224,297,171,231,261,291,403,434,545,199,230,110,67,1
クロガモ 【3】,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,
ホオジロガモ 【3】,,,,,,,,,,,,,,,,10,2,,3,2,10,11,,12,1,2,,,,
カワアイサ 【3】,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,
ウミアイサ 【3】,,,,,,,2,,4,,4,13,18,12,,53,37,4,,,4,17,6,42,15,13,33,5,21,
オオバン 【2】,,,,,,,,6,13,55,144,144,131,161,144,93,151,132,67,65,114,133,104,119,115,86,63,46,2,
カイツブリ 【1】,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
カンムリカイツブリ 【1】,,,,,,,,,,3,,,,,,,,,,,,,,2,1,2,2,1,3,
ミミカイツブリ,,,,,,,,,,,,1,,,,,2,,,,1,1,,1,1,1,,,,
ハジロカイツブリ,,,,,,,,,,,,,,,2,1,2,,,,,2,4,5,,,,,,
ハマシギ,,,,,,23,,,69,56,41,,,,25,45,,18,,,,12,,,,28,,,,
イソシギ,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,1,
キアシシギ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2
ユリカモメ 【1】,,,,,,,,,,,,,8,10,18,25,33,35,65,48,92,56,45,35,20,5,,,,
ウミネコ 【3】,252,268,146,156,168,164,82,93,148,132,49,25,11,42,,40,,16,,,,,,81,85,14,18,3,1,330
カモメ 【3】,,,,,,,,,,,,,48,85,150,450,261,284,125,90,224,71,240,53,1,9,,,,
セグロカモメ 【3】,,,,,,2,,,,,,2,,3,2,13,3,6,4,2,6,,1,,,,,,,
オオセグロカモメ 【3】,27,37,42,32,31,19,23,30,53,34,40,66,10,93,87,394,164,1038,224,123,207,166,155,91,56,43,27,7,5,3
ヒメウ,,,,,,,,,,,,,4,5,7,5,5,5,5,3,5,6,,,,,,,,
ウミウ,,,,,,,1,,10,2,3,4,17,15,47,42,62,41,9,11,11,28,24,8,35,28,10,,,
カワウ 【3】,129,105,126,122,148,129,187,125,110,150,100,96,22,20,16,2,,1,,,,,,,,12,13,8,24,7
クロツラヘラサギ,2,2,,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,
アオサギ 【3】,11,3,3,1,5,4,9,6,2,6,,4,,,,5,6,,7,,,6,3,,9,4,5,4,,4
ダイサギ,2,5,3,8,3,3,1,,1,,,1,,,,,1,,,,,,,,,,,5,,4
トビ 【3】,1,,,,2,2,,,1,,,2,,,,,,,,,,2,,,,,2,,,1
サギ科,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
カモ類,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,
